spiPol1	Spirodela polyrhiza (great duckweed)	eukaryota	Spermatophyta	
vitVin1	Vitis vinifera (Grapevine 12X)	eukaryota	Spermatophyta	
zeaMay6	Zea mays B73 (Version AGPv3)	eukaryota	Spermatophyta	
anoCar2	Anolis carolinensis (lizard) (Broad AnoCar2.0 May 2010)	eukaryota	Vertebrata	
calMil1	Callorhinchus milii (Elephant shark Dec. 2013 Callorhinchus_milii-6.1.3/calMil1)	eukaryota	Vertebrata	
chrPic1	Chrysemys picta bellii (Painted turtle Dec. 2011 v3.0.1/chrPic1)	eukaryota	Vertebrata	
danRer10	Danio rerio (Zebrafish Sep. 2014 GRCz10/danRer10)	eukaryota	Vertebrata	
gadMor1	Gadus morhua (Atlantic cod May 2010 Genofisk GadMor_May2010/gadMor1)	eukaryota	Vertebrata	
galGal4	Gallus gallus (galGal4 Nov 2011)	eukaryota	Vertebrata	
gasAcu1	Gasterosteus aculeatus (stickleback) (Broad 1.0 Feb 2006)	eukaryota	Vertebrata	
geoFor1	Geospiza fortis (Medium ground finch Apr. 2012 GeoFor_1.0/geoFor1)	eukaryota	Vertebrata	
latCha1	Latimeria chalumnae (Coelacanth Aug. 2011 Broad/latCha1)	eukaryota	Vertebrata	
melGal1	Meleagris gallopavo (turkey) (TGC Turkey_2.01 Dec 2009)	eukaryota	Vertebrata	
melUnd1	Melopsittacus undulatus (Budgerigar Sep. 2011 WUSTL v6.3/melUnd1)	eukaryota	Vertebrata	
oreNil2	Oreochromis niloticus (Nile tilapia Jan. 2011 Broad oreNil1.1/oreNil2)	eukaryota	Vertebrata	
oryLat2	Oryzias latipes (Medaka) (Oct 2005)	eukaryota	Vertebrata	
petMar2	Petromyzon marinus (Lamprey Sep. 2010 WUGSC 7.0/petMar2)	eukaryota	Vertebrata	
taeGut2	Taeniopygia guttata (Zebra finch Feb. 2013 WashU taeGut324/taeGut2)	eukaryota	Vertebrata	
fr3	Takifugu rubripes (Fugu Oct. 2011 FUGU5/fr3)	eukaryota	Vertebrata	
tetNig2	Tetraodon nigroviridis (tetraodon) (Genoscope 8.0 Mar 2007)	eukaryota	Vertebrata	
xenTro3	Xenopus tropicalis (frog) (JGI 4.2 Nov 2009)	eukaryota	Vertebrata	
